Text,Datetime,Location,Hashtags,polarity,subjectivity
r25 million recovered cops cashforvotes scheme police minister fikilembalula confirmed today ancs elective conference kicks saturday see governing party elect top six including party president,17:12:12 15:42:34,South Africa,"['cashforvotes', 'FikileMbalula', 'ANC']",0.5666666666666668,0.7999999999999999
sihle mavuso watch kzn anc youth league secretary thanduxolo sabelo saying ndz win anc elections anc win 2019 general elections anc54 ancconference2017 newage supportdlamini supportndz,17:12:14 12:34:33,South Africa,"['ANC', 'NDZ', 'ANC54', 'ANCConference2017', 'SupportDlamini', 'SupportNDZ']",0.55,0.4333333333333333
fantastic news citykeep good work mr mayor hermanmashaba da joburgcouncilvote,17:11:30 19:35:21,"Johannesburg, South Africa","['HermanMashaba', 'DA', 'JoburgCouncilVote']",0.55,0.75
sona2017 eff okay mara honest voted jhb,17:02:09 17:39:38,SA,"['SONA2017', 'EFF']",0.55,0.7
zimbabwe coup da asks mugabe step free fair elections held army harare zimbabwearmytanks,17:11:15 09:32:56,"Port Elizabeth, South Africa","['Zimbabwe', 'DA', 'Mugabe', 'army', 'harare', 'zimbabwearmytanks']",0.55,0.8500000000000001
anc paving nicely 4 eff 2 win 2019election coz none anc leadership branches willing 2 turn zuma,17:07:25 06:04:02,South Africa,"['ANC', 'EFF', '2019Election', 'Zuma']",0.5499999999999999,0.7166666666666667
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']",0.5416666666666666,0.4083333333333334
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']",0.5416666666666666,0.4083333333333334
jacob zuma anc weak opponents best interests da eff kept power gained votes daft planning however best interests currency,17:12:23 11:53:26,South Africa,"['ANC', 'DA', 'EFF', 'Power', 'Daft', 'Planning', 'SouthAfrica']",0.5416666666666666,0.4083333333333334
im anc supporter loyal citizen hope happens election thieves successful,17:12:18 03:26:00,Cape Town,['ANC'],0.5416666666666666,0.8916666666666666
anc best 25th anc national conference cz true faces revealed ramaphosa didnt even left voting election committee successful capturing everything go honest graceful manner,17:12:20 15:47:31,South Africa,"['ANC', 'Ramaphosa']",0.54,0.5599999999999999
malema eff never abt helping poor sans abt revenge anc zuma wont vote whats best 4 best 4 malema,17:09:07 07:02:45,South Africa,"['Malema', 'EFF', 'ANC', 'ZUMA']",0.5333333333333333,0.3999999999999999
voteofnoconfidence eff going kicked get vote first time dont want kicked parliament lol,17:08:08 13:23:15,"Cape Town, South Africa","['voteofnoconfidence', 'EFF']",0.525,0.5166666666666666
welcome first ramaphosa presidency ancconference2017 anc54thnationalconference cr17 ancvotes cr17siyavuma anc ancconference,17:12:17 03:26:45,South Africa,"['ANCConference2017', 'ANC54thNationalConference', 'CR17', 'ANCVotes', 'CR17Siyavuma', 'ANC', 'ANCConference']",0.525,0.6166666666666667
welcome first ramaphosa presidency ancconference2017 anc54thnationalconference cr17 ancvotes cr17siyavuma anc ancconference,17:12:17 03:27:13,South Africa,"['ANCConference2017', 'ANC54thNationalConference', 'CR17', 'ANCVotes', 'CR17Siyavuma', 'ANC', 'ANCConference']",0.525,0.6166666666666667
welcome first ramaphosa presidency ancconference2017 anc54thnationalconference cr17 ancvotes cr17siyavuma anc ancconference,17:12:17 03:27:24,South Africa,"['ANCConference2017', 'ANC54thNationalConference', 'CR17', 'ANCVotes', 'CR17Siyavuma', 'ANC', 'ANCConference']",0.525,0.6166666666666667
eff win fificooper case ambitious entertainment please vote rt boycottambitiouzent,17:11:29 07:23:20,South Africa,"['EFF', 'FifiCooper', 'BoycottAmbitiouzEnt']",0.525,0.575
welcome first ramaphosa presidency ancconference2017 anc54thnationalconference cr17 ancvotes cr17siyavuma anc ancconference,17:12:17 05:18:56,South Africa,"['ANCConference2017', 'ANC54thNationalConference', 'CR17', 'ANCVotes', 'CR17Siyavuma', 'ANC', 'ANCConference']",0.525,0.6166666666666667
delegates ahead anc election party president 5 top officials anc54thnationalconference,17:12:17 18:06:06,Johannesburg,"['ANC', 'ANC54thNationalConference']",0.5,0.5
open close anc parties vote best interest zuma baleta da,17:08:06 07:54:31,"Johannesburg,South Africa","['ANC', 'SouthAfrica', 'Zuma', 'Baleta', 'DA']",0.5,0.4
malema message anc money thats winning elections eff,17:01:23 11:15:05,South Africa,['EFF'],0.5,0.75
anc take bribes cadre voting booth remember power sexually transmitted,17:12:17 14:19:16,Cape town,['anc'],0.5,0.8333333333333334
vote still safe thank eff,17:11:30 09:07:47,Johannesburg,['EFF'],0.5,0.5
heres whats interesting metsimaholo byelections occurred advance succession sacp supports ramaphosa eff dislikes ndz sacp eff well anc zuma weakened message voters feel succession,17:11:30 09:07:32,"Cape Town, South Africa","['Metsimaholo', 'Ramaphosa', 'EFF', 'SACP', 'ANC']",0.5,0.5
presidentexofficiotmbeki wonder best come hoped running mate last ancelectioncontender,17:12:19 05:26:40,"Daveyton, South Africa","['President', 'ANC']",0.5,0.1833333333333333
anctop6 lot anc recalling zuma safe till 2019election merrily carry pillaging protected till,17:12:19 05:54:56,"Cape Town, South Africa","['ANCTop6', 'ANC', 'Zuma', '2019Election']",0.5,0.5
correction election top 6 anc,17:12:18 20:40:07,"Johannesburg, South Africa",['ANC'],0.5,0.5
anc senzo mchunu must let go 68 vote concentrate kzn premiership peche winning,17:12:20 08:28:56,Cape town,['anc'],0.5,0.75
weeks election interesting could fore runner things shake 2019 sacp eff put anc canvas,17:11:26 10:33:18,South Africa,"['SACP', 'EFF', 'ANC']",0.5,0.5
people love want status unemployment poverty inequality accept reality dlaminizuma become anc president december election 2017 hanekom,17:11:26 17:02:47,South Africa,"['SA', 'DlaminiZuma', 'ANC']",0.5,0.6
sarah agree statement vote da sure,17:08:10 10:41:11,South Africa,['DA'],0.5,0.8888888888888888
im glad two tsotsis top 6 eish still voting anc,17:12:18 18:41:41,Soweto,['ANC'],0.5,0.75
voted eff da reason go give vote never wonder many feel like sellouts,17:06:19 14:31:50,Cape Town,"['EFF', 'DA', 'SellOuts']",0.5,0.5
weeks election interesting could fore runner things shake 2019 sacp eff put anc canvas,17:11:26 10:33:18,South Africa,"['SACP', 'EFF', 'ANC']",0.5,0.5
motlanthe sure vote anc 2019 eff da ifp,17:04:26 14:50:38,South Africa,"['Motlanthe', 'ANC', 'EFF', 'DA', 'IFP']",0.5,0.8888888888888888
ando ntsodo wc da election race bonginkosi madikizela lennit max competing top spot,17:10:04 11:09:30,South Africa,['DA'],0.5,0.5
malema says gp history winning elections eff,17:02:14 10:56:06,"Johannesburg, South Africa",['EFF'],0.5,0.75
sona2017 okay eff wat heck never vote,17:02:09 17:39:13,"Krugersdorp, South Africa","['SONA2017', 'eff']",0.5,0.5
know r100 billion taken away anc cronies august elections ensuring access loot billlions monc want access safe handsoffdagama handsoffmashaba handsofftrollip,17:11:30 06:40:28,Cape Town,"['ANC', 'MONC', 'HandsOffDaGama', 'HandsOffMashaba', 'HandsOffTrollip']",0.5,0.5
vote eff confidently,17:08:04 12:12:54,South Africa,['EFF'],0.5,0.8333333333333334
suspect many anc supporters facing dilemma 2019 elections anc da eff cope udm coalition,17:10:15 22:23:56,South Africa,"['ANC', 'DA', 'EFF', 'Cope', 'UDM', 'Coalition']",0.5,0.5
marching eff tuesday 08 august 2017 love country voteofnoconfidence,17:08:06 05:49:23,"Roodepoort, South Africa","['EFF', 'voteofnoconfidence']",0.5,0.6
applies every anc member parliament anc voter surely,17:12:18 09:07:22,Cape Town,"['ANC', 'ANC']",0.5,0.8888888888888888
da sure view voted keep anc power,17:12:01 09:06:52,"Johannesburg, South Africa",['Anc'],0.5,0.8888888888888888
losi spearheads cosatu battle cyril running election anc top six losi cosatu ramaphosa anc,17:12:03 10:00:42,Johannesburg,"['Losi', 'Cosatu', 'Ramaphosa', 'ANC']",0.5,0.5
undecided voters fence need convincing talking abt doesnt help eff,17:10:17 16:31:48,"Ethekwini, South Africa",['eff'],0.5,1.0
suspect many anc supporters facing dilemma 2019 elections anc da eff cope udm coalition,17:10:15 22:23:56,South Africa,"['ANC', 'DA', 'EFF', 'Cope', 'UDM', 'Coalition']",0.5,0.5
delegates voting night anc top six leadership,17:12:18 06:07:03,"Bloemfontein, South Africa",['ANC'],0.5,0.5
poll think anc top 6 regain voters confidence sabcnews anc54 ancconference ancelectiveconference ancconference2017 ancdecides2017 anchasvoted anc nasrec,17:12:19 06:14:25,South Africa,"['SABCNews', 'ANC54', 'ANCConference', 'ANCElectiveConference', 'ANCConference2017', 'ANCdecides2017', 'ANChasvoted', 'ANC', 'Nasrec']",0.5,0.5
heres whats interesting metsimaholo byelections occurred advance succession sacp supports ramaphosa eff dislikes ndz sacp eff well anc zuma weakened message voters feel succession,17:11:30 09:07:32,"Cape Town, South Africa","['Metsimaholo', 'Ramaphosa', 'EFF', 'SACP', 'ANC']",0.5,0.5
id love ancbreakaway party led makhosi khoza roundabout might even vote da disappoints,17:08:08 18:30:52,"Johannesburg, South Africa","['ANC', 'Khoza', 'vote', 'DA']",0.5,0.6
seems like das term nmb time start looking alternatives vote many voters afford lose,17:09:27 18:40:18,"Birch Acres, South Africa","['DA', 'NMB']",0.5,0.5
africaday malema someone said eff wants win elections must abandon land said going,17:05:25 13:09:50,"Polokwane, South Africa","['AfricaDay', 'EFF']",0.5,0.25
mina better ni vote eff kuri niti xavisa ka da,17:08:09 10:32:25,"Pretoria, South Africa","['EFF', 'DA']",0.5,0.5
somebody mentioned flying economy class da leaders best save taxes 2019 simply voteda,17:09:28 21:37:40,"Jozi-mjondolo, SA","['DA', 'taxes', 'VoteDA']",0.5,0.3285714285714285
motlanthe sure vote anc 2019 eff da ifp,17:04:26 14:50:38,South Africa,"['Motlanthe', 'ANC', 'EFF', 'DA', 'IFP']",0.5,0.8888888888888888
mina better ni vote eff kuri niti xavisa ka da,17:08:09 10:32:25,"Pretoria, South Africa","['EFF', 'DA']",0.5,0.5
therefore claim many often effsupporters elections must always fiveyear gap baseless,17:08:11 19:32:47,"Johannesburg, South Africa",['EFF'],0.5,0.5
cr17 really want win anc dec election seems undecided,17:11:06 12:13:56,South Africa,"['CR17', 'ANC']",0.5,0.3
dear smalema wanna give followersvoters truly inspiring christmas message tell amend eff policy dump socialism,17:12:23 05:03:29,"Umlazi, South Africa","['EFF', 'socialism']",0.5,1.0
heres 1 eff cheared 177 losing votes like winning votes dodgy maths,17:08:08 17:17:03,South Africa,['EFF'],0.5,0.75
vote precious anc today,17:10:24 09:32:35,"Pretoria, South Africa",['ANC'],0.5,1.0
join 21h00 days top stories ifp nquthubyelections zuma lynnebrown eskom bathabiledlamini sassa,17:05:25 18:57:38,"Johannesburg, South Africa","['IFP', 'NquthuByElections', 'Zuma', 'LynneBrown', 'Eskom', 'BathabileDlamini', 'SASSA']",0.5,0.5
anc doesnt vote gwede top 6 theyll wasting time,17:12:11 17:07:43,"Vosloorus , South Africa",['ANC'],0.5,0.5
anc winning elections2019,17:12:09 14:50:50,"MIDRAND,SOUTH AFRICA","['ANC', 'elections2019']",0.5,0.75
zuma many people spoken use money buy votes within anc straighttalk,17:11:14 06:49:38,"Midrand, South Africa","['ANC', 'StraightTalk']",0.5,0.5
interesting conversation vote eff 2019 de numbers ar amzingly growin smalema fundamental principle land,17:12:04 20:06:56,Johannesburg,['EFF'],0.5,0.5
noted love vote remain ifp,17:06:19 12:51:08,"Durban, South Africa",['IFP'],0.5,0.6
anc vote counting mantashe says manual counting better satisfies delegates,17:11:22 13:05:45,Johannesburg,['ANC'],0.5,0.5
party luv anc come neva hear stories like watch da winning voters anc,17:11:23 18:29:03,Pretoria,['ANC'],0.5,0.75
anc delegate voting national conference choose two would pick partys top spot,17:12:05 08:01:06,"Johannesburg, South Africa",['ANC'],0.5,0.5
vote da eff better devil showing guys colours painfull guys call better devils cry get time god help us,17:12:02 21:48:17,South Africa ,['EFF'],0.5,0.5
watch anc54 top 6 voting numbers anc president cyrilramaphosa received 2440 votes deputy president david mabuza received 2538 votes paul mashatile gwede mantashe ace magashule jessie duarte also part anc top 6,17:12:19 06:43:07,South Africa,"['ANC54', 'CyrilRamaphosa', 'ANC']",0.5,0.5
